# x rho u P T
0.0000000000e+00 9.8971753235e+02 0.0000000000e+00 1.0000000000e+07 2.7000000000e+02
2.5062656642e-03 9.8971753235e+02 0.0000000000e+00 1.0000000000e+07 2.7000000000e+02
5.0125313283e-03 9.8971753235e+02 0.0000000000e+00 1.0000000000e+07 2.7000000000e+02
7.5187969925e-03 9.8971753235e+02 0.0000000000e+00 1.0000000000e+07 2.7000000000e+02
1.0025062657e-02 9.8971753235e+02 0.0000000000e+00 1.0000000000e+07 2.7000000000e+02
1.2531328321e-02 9.8949946733e+02 1.4645486198e-01 9.9036728344e+06 2.6994050319e+02
1.5037593985e-02 9.8862265962e+02 7.3412400010e-01 9.5183644633e+06 2.6970164052e+02
1.7543859649e-02 9.8773844874e+02 1.3247946901e+00 9.1330560926e+06 2.6946135633e+02
2.0050125313e-02 9.8684665978e+02 1.9185246528e+00 8.7477477224e+06 2.6921962277e+02
2.2556390977e-02 9.8594711059e+02 2.5153737445e+00 8.3624393527e+06 2.6897641096e+02
2.5062656642e-02 9.8503961128e+02 3.1154040774e+00 7.9771309835e+06 2.6873169095e+02
2.7568922306e-02 9.8416994284e+02 3.6884382343e+00 7.6110880333e+06 2.6849778166e+02
3.0075187970e-02 9.8329274365e+02 4.2644590556e+00 7.2450450836e+06 2.6826245550e+02
3.2581453634e-02 9.8240782911e+02 4.8435261172e+00 6.8790021345e+06 2.6802568376e+02
3.5087719298e-02 9.8151500664e+02 5.4257012900e+00 6.5129591860e+06 2.6778743663e+02
3.7593984962e-02 9.8061407519e+02 6.0110488750e+00 6.1469162381e+06 2.6754768315e+02
4.0100250627e-02 9.7975289086e+02 6.5685756181e+00 5.8001387091e+06 2.6731912959e+02
4.2606516291e-02 9.7888405357e+02 7.1290687406e+00 5.4533611807e+06 2.6708916671e+02
4.5112781955e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
4.7619047619e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
5.0125313283e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
5.2631578947e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
5.5137844612e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
5.7644110276e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
6.0150375940e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
6.2656641604e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
6.5162907268e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
6.7669172932e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
7.0175438596e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
7.2681704261e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
7.5187969925e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
7.7694235589e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
8.0200501253e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
8.2706766917e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
8.5213032581e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
8.7719298246e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
9.0225563910e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
9.2731829574e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
9.5238095238e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
9.7744360902e-02 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.0025062657e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.0275689223e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.0526315789e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.0776942356e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.1027568922e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.1278195489e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.1528822055e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.1779448622e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.2030075188e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.2280701754e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.2531328321e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.2781954887e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.3032581454e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.3283208020e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.3533834586e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.3784461153e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.4035087719e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.4285714286e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.4536340852e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.4786967419e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.5037593985e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.5288220551e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.5538847118e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.5789473684e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.6040100251e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.6290726817e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.6541353383e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.6791979950e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.7042606516e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.7293233083e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.7543859649e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.7794486216e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.8045112782e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.8295739348e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.8546365915e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.8796992481e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.9047619048e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.9298245614e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.9548872180e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
1.9799498747e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.0050125313e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.0300751880e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.0551378446e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.0802005013e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.1052631579e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.1303258145e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.1553884712e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.1804511278e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.2055137845e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.2305764411e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.2556390977e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.2807017544e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.3057644110e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.3308270677e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.3558897243e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.3809523810e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.4060150376e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.4310776942e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.4561403509e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.4812030075e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.5062656642e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
2.5313283208e-01 9.7820287590e+02 7.5670979135e+00 5.1836453258e+06 2.6690931347e+02
