# x rho u P T
1.3784461153e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.4035087719e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.4285714286e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.4536340852e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.4786967419e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.5037593985e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.5288220551e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.5538847118e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.5789473684e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.6040100251e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.6290726817e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.6541353383e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.6791979950e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.7042606516e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.7293233083e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.7543859649e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.7794486216e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.8045112782e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.8295739348e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.8546365915e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
