panel,curve,x_m,value
T,theta=1 s,9.2625,273.1412
T,theta=1 s,9.2750,273.1412
T,theta=1 s,9.2875,273.1412
T,theta=1 s,9.3250,273.1412
T,theta=1 s,9.3375,273.1412
T,theta=1 s,9.3750,273.1185
T,theta=1 s,9.3875,273.1412
T,theta=1 s,9.4000,273.1412
T,theta=1 s,9.4375,273.1412
T,theta=1 s,9.4500,273.1412
T,theta=1 s,9.4625,273.1412
T,theta=1 s,9.4875,273.1412
T,theta=1 s,9.5000,273.1412
T,theta=1 s,9.5125,273.1412
T,theta=1 s,9.5250,273.1185
T,theta=1 s,9.5500,273.1185
T,theta=1 s,9.5625,273.1412
T,theta=1 s,9.5750,273.1412
T,theta=1 s,9.5875,273.1412
T,theta=1 s,9.6125,273.1412
T,theta=1 s,9.6250,273.1412
T,theta=1 s,9.6375,273.1412
T,theta=1 s,9.6750,273.1412
T,theta=1 s,9.6875,273.1412
T,theta=1 s,9.7000,273.1412
T,theta=1 s,9.7375,273.1412
T,theta=1 s,9.7500,273.1412
T,theta=1 s,9.7875,273.0957
T,theta=1 s,9.8000,273.1412
T,theta=1 s,9.8125,273.1412
T,theta=1 s,9.8500,273.1412
T,theta=1 s,9.8625,273.1412
T,theta=1 s,9.8750,273.1412
T,theta=1 s,9.9125,273.1412
T,theta=1 s,9.9250,273.1412
T,theta=1 s,9.9375,273.1185
T,theta=1 s,9.9625,273.1185
T,theta=1 s,9.9750,273.1412
T,theta=1 s,9.9875,273.1412
T,theta=1 s,10.0000,273.1412
T,theta=1 s,10.0250,273.1412
T,theta=1 s,10.0375,273.1412
T,theta=1 s,10.0500,273.1412
T,theta=1 s,10.0875,273.1412
T,theta=1 s,10.1000,273.1412
T,theta=1 s,10.1125,273.1412
T,theta=1 s,10.1375,273.1412
T,theta=1 s,10.1500,273.1412
T,theta=1 s,10.1625,273.1412
T,theta=1 s,10.1750,273.1185
T,theta=1 s,10.2000,273.0957
T,theta=1 s,10.2125,273.1412
T,theta=1 s,10.2250,273.1412
T,theta=1 s,10.2625,273.1185
T,theta=1 s,10.2750,273.1412
T,theta=1 s,10.2875,273.1412
T,theta=1 s,10.3250,273.1412
T,theta=1 s,10.3375,273.1412
T,theta=1 s,10.3500,273.1185
T,theta=1 s,10.3750,273.1185
T,theta=1 s,10.3875,273.1412
T,theta=1 s,10.4000,273.1412
T,theta=1 s,10.4125,273.1412
T,theta=1 s,10.4375,273.1412
T,theta=1 s,10.4500,273.1412
T,theta=1 s,10.4625,273.1412
T,theta=1 s,10.5000,273.1412
T,theta=1 s,10.5125,273.1412
T,theta=1 s,10.5250,273.1412
T,theta=1 s,10.5500,273.1412
T,theta=1 s,10.5625,273.1412
T,theta=1 s,10.5750,273.1412
T,theta=1 s,10.5875,273.1185
T,theta=1 s,10.6125,273.1185
T,theta=1 s,10.6250,273.1412
T,theta=1 s,10.6375,273.1412
T,theta=1 s,10.6750,273.1185
T,theta=1 s,10.6875,273.1412
T,theta=1 s,10.7000,273.1412
T,theta=1 s,10.7375,273.1185
T,theta=1 s,10.7500,273.1412
T,theta=1 s,10.7625,273.0957
T,theta=1 s,10.7875,273.1412
T,theta=1 s,10.8000,273.1412
T,theta=1 s,10.8125,273.1412
T,theta=1 s,10.8250,273.1412
T,theta=1 s,10.8500,273.1412
T,theta=1 s,10.8625,273.1412
T,theta=1 s,10.8750,273.1412
T,theta=1 s,10.9125,273.1412
T,theta=1 s,10.9250,273.1412
T,theta=1 s,10.9375,273.1412
T,theta=1 s,10.9625,273.1412
T,theta=1 s,10.9750,273.1412
T,theta=1 s,10.9875,273.1412
T,theta=1 s,11.0000,273.1185
T,theta=1 s,11.0250,273.1185
T,theta=1 s,11.0375,273.1412
T,theta=1 s,11.0500,273.1412
T,theta=1 s,11.0625,273.1412
T,theta=1 s,11.0875,273.1412
T,theta=1 s,11.1000,273.1412
T,theta=1 s,11.1125,273.1412
T,theta=1 s,11.1500,273.1412
T,theta=1 s,11.1625,273.1412
T,theta=1 s,11.1750,273.0957
T,theta=1 s,11.2125,273.1412
T,theta=1 s,11.2250,273.1412
T,theta=1 s,11.2625,273.1412
T,theta=1 s,11.2750,273.1412
T,theta=1 s,11.2875,273.1412
T,theta=1 s,11.3250,273.1412
T,theta=1 s,11.3375,273.1412
T,theta=1 s,11.3500,273.1412
T,theta=1 s,11.3750,273.1412
T,theta=1 s,11.3875,273.1412
T,theta=1 s,11.4000,273.1412
T,theta=1 s,11.4125,273.1185
T,theta=1 s,11.4375,273.1185
T,theta=1 s,11.4500,273.1412
T,theta=1 s,11.4625,273.1412
T,theta=1 s,11.4750,273.1412
T,theta=1 s,11.5000,273.1412
T,theta=1 s,11.5125,273.1412
T,theta=1 s,11.5250,273.1412
T,theta=1 s,11.5625,273.1412
T,theta=1 s,11.5750,273.1412
T,theta=1 s,11.5875,273.1185
T,theta=1 s,11.6250,273.1412
T,theta=1 s,11.6375,273.1412
T,theta=1 s,11.6750,273.0957
T,theta=1 s,11.6875,273.1412
T,theta=1 s,11.7000,273.1412
T,theta=1 s,11.7375,273.1412
T,theta=1 s,11.7500,273.1412
T,theta=1 s,11.7625,273.1412
T,theta=1 s,11.7875,273.1412
T,theta=1 s,11.8000,273.1412
T,theta=1 s,11.8125,273.1412
T,theta=1 s,11.8250,273.1185
T,theta=1 s,11.8500,273.1185
T,theta=1 s,11.8625,273.1412
T,theta=1 s,11.8750,273.1412
T,theta=1 s,11.8875,273.1412
T,HEM,2.3625,298.1799
T,HEM,2.6000,298.1799
T,HEM,2.6125,298.1344
T,HEM,2.6250,298.1344
T,HEM,2.6625,298.1344
T,HEM,2.6750,298.1344
T,HEM,2.7375,298.1799
T,HEM,2.7750,298.1344
T,HEM,2.7875,298.1344
T,HEM,2.8000,298.1344
T,HEM,3.0750,298.1344
T,HEM,3.0875,298.1344
T,HEM,3.1000,298.1572
T,HEM,3.1250,298.1572
T,HEM,3.1375,298.1344
T,HEM,3.1500,298.1344
T,HEM,3.1875,298.1344
T,HEM,3.2000,298.1344
T,HEM,3.2125,298.1344
T,HEM,3.2500,298.1344
T,HEM,3.2625,298.1344
T,HEM,3.2750,298.1572
T,HEM,3.4875,298.1799
T,HEM,3.5000,298.1799
T,HEM,3.5375,298.1799
T,HEM,3.5500,298.1344
T,HEM,3.5625,298.1344
T,HEM,3.6000,298.1344
T,HEM,3.6125,298.1344
T,HEM,3.6250,298.1344
T,HEM,3.6625,298.1344
T,HEM,3.6750,298.1344
T,HEM,3.6875,298.1116
T,HEM,3.7125,298.0661
T,HEM,3.7250,298.0889
T,HEM,3.7375,298.0661
T,HEM,3.7625,297.9523
T,HEM,3.7750,297.9751
T,HEM,3.7875,297.9523
T,HEM,3.8000,297.9523
T,HEM,3.8125,297.8157
T,HEM,3.8250,297.8157
T,HEM,3.8375,297.8157
T,HEM,3.8500,297.6336
T,HEM,3.8625,297.6564
T,HEM,3.8750,297.4970
T,HEM,3.8875,297.4515
T,HEM,3.9000,297.3832
T,HEM,3.9125,297.2694
T,HEM,3.9250,297.2239
T,HEM,3.9375,297.0873
T,HEM,3.9500,296.9735
T,HEM,3.9625,296.8369
T,HEM,3.9750,296.7004
T,HEM,3.9875,296.6321
T,HEM,4.0000,296.4727
T,HEM,4.0125,296.3817
T,HEM,4.0250,296.2679
T,HEM,4.0375,296.0630
T,HEM,4.0500,295.9720
T,HEM,4.0625,295.8581
T,HEM,4.0750,295.5395
T,HEM,4.0875,295.3346
T,HEM,4.1000,295.1980
T,HEM,4.1125,295.0387
T,HEM,4.1250,294.9249
T,HEM,4.1375,294.8111
T,HEM,4.1625,294.1510
T,HEM,4.2000,293.5819
T,HEM,4.2125,293.5364
T,HEM,4.2250,293.3770
T,HEM,4.2375,293.3087
T,HEM,4.2500,293.0584
T,HEM,4.2625,292.7169
T,HEM,4.2750,292.5348
T,HEM,4.2875,292.3300
T,HEM,4.3000,292.1934
T,HEM,4.3125,292.0113
T,HEM,4.3250,291.9202
T,HEM,4.3375,291.7837
T,HEM,4.3500,291.5788
T,HEM,4.3625,291.3739
T,HEM,4.3750,291.1008
T,HEM,4.3875,290.8959
T,HEM,4.4000,290.7366
T,HEM,4.4125,290.4862
T,HEM,4.4250,290.3952
T,HEM,4.4375,290.2586
T,HEM,4.4500,290.0537
T,HEM,4.4625,289.9171
T,HEM,4.4750,289.7578
T,HEM,4.4875,289.5074
T,HEM,4.5000,289.3481
T,HEM,4.5125,289.1887
T,HEM,4.5250,289.0066
T,HEM,4.5375,288.8701
T,HEM,4.5500,288.6880
T,HEM,4.5625,288.4603
T,HEM,4.5750,288.3693
T,HEM,4.5875,288.2100
T,HEM,4.6000,288.0506
T,HEM,4.6125,287.8458
T,HEM,4.6250,287.7547
T,HEM,4.6375,287.6409
T,HEM,4.6500,287.4360
T,HEM,4.6625,287.3222
T,HEM,4.6750,287.1629
T,HEM,4.6875,287.1174
T,HEM,4.7000,286.9580
T,HEM,4.7125,286.8897
T,HEM,4.7250,286.7532
T,HEM,4.7375,286.5711
T,HEM,4.7500,286.5255
T,HEM,4.7625,286.3662
T,HEM,4.7750,286.3434
T,HEM,4.7875,286.1613
T,HEM,4.8000,286.1613
T,HEM,4.8125,286.1158
T,HEM,4.8250,285.9792
T,HEM,4.8375,285.9792
T,HEM,4.8500,285.7971
T,HEM,4.8625,285.7971
T,HEM,4.8750,285.7971
T,HEM,4.8875,285.7289
T,HEM,4.9000,285.6606
T,HEM,4.9125,285.6606
T,HEM,4.9250,285.6606
T,HEM,4.9500,285.5695
T,HEM,4.9625,285.5240
T,HEM,4.9750,285.5468
T,HEM,5.0000,285.4785
T,HEM,5.0125,285.4785
T,HEM,5.0250,285.4785
T,HEM,5.0625,285.4329
T,HEM,5.0750,285.4329
T,HEM,5.0875,285.4557
T,HEM,5.1250,285.4329
T,HEM,5.1375,285.4329
T,HEM,5.3750,285.4785
T,HEM,5.4125,285.4329
T,HEM,5.4250,285.4329
T,HEM,5.4375,285.4329
T,HEM,5.4750,285.4329
T,HEM,5.4875,285.4329
T,HEM,5.5000,285.4329
T,HEM,5.5375,285.4329
T,HEM,5.5500,285.4329
T,HEM,5.5625,285.4329
T,HEM,5.5875,285.4102
T,HEM,5.6000,285.4102
T,HEM,5.6125,285.3874
T,HEM,5.8500,285.4329
T,HEM,5.8875,285.4329
T,HEM,5.9000,285.4329
T,HEM,5.9125,285.4329
T,HEM,5.9625,285.3874
T,HEM,5.9750,285.4329
T,HEM,6.0000,285.4329
T,HEM,6.0125,285.4329
T,HEM,6.0250,285.4329
T,HEM,6.3125,285.3874
T,HEM,6.3250,285.4329
T,HEM,6.3625,285.4329
T,HEM,6.3750,285.4329
T,HEM,6.4375,285.4329
T,HEM,6.4750,285.4329
T,HEM,6.4875,285.4329
T,HEM,6.5000,285.4329
T,HEM,6.7875,285.4329
T,HEM,6.9125,285.4329
T,HEM,6.9500,285.4329
T,HEM,6.9625,285.4329
T,HEM,6.9750,285.4102
T,HEM,7.2625,285.4329
T,HEM,7.3000,285.4329
T,HEM,7.3125,285.4329
T,HEM,7.3250,285.4329
T,HEM,7.3750,285.4329
T,HEM,7.3875,285.4329
T,HEM,7.4250,285.4329
T,HEM,7.4375,285.4329
T,HEM,7.7250,285.4329
T,HEM,7.7375,285.4329
T,HEM,7.7750,285.4329
T,HEM,7.7875,285.4329
T,HEM,7.8000,285.4785
T,HEM,7.8375,285.4785
T,HEM,7.8500,285.4329
T,HEM,7.8875,285.4329
T,HEM,7.9000,285.4329
T,HEM,7.9125,285.4329
T,HEM,7.9500,285.4785
T,HEM,8.2000,285.4329
T,HEM,8.2125,285.4329
T,HEM,8.2500,285.4329
T,HEM,8.2625,285.4329
T,HEM,8.2750,285.4329
T,HEM,8.3000,285.4329
T,HEM,8.3125,285.4329
T,HEM,8.3250,285.4329
T,HEM,8.3625,285.4329
T,HEM,8.3750,285.4329
T,HEM,8.3875,285.4329
T,HEM,8.4250,285.4329
T,HEM,8.6000,285.4785
T,HEM,8.6125,285.4785
T,HEM,8.6250,285.4785
T,HEM,8.6625,285.4557
T,HEM,8.6750,285.4329
T,HEM,8.6875,285.4329
T,HEM,8.7125,285.4102
T,HEM,8.7250,285.4329
T,HEM,8.7375,285.4329
T,HEM,8.7625,285.3191
T,HEM,8.7750,285.2736
T,HEM,8.7875,285.0915
T,HEM,8.8000,284.6818
T,HEM,8.8125,284.0444
T,HEM,8.8250,283.3616
T,HEM,8.8375,282.5193
T,HEM,8.8500,280.7894
T,HEM,8.8625,276.4873
T,HEM,8.8750,275.3492
T,HEM,8.8875,274.4842
T,HEM,8.9000,273.8469
T,HEM,8.9125,273.4827
T,HEM,8.9250,273.3233
T,HEM,8.9375,273.1412
T,HEM,8.9500,273.1412
T,HEM,8.9625,273.1412
T,HEM,9.0000,273.1412
T,HEM,9.0125,273.1412
T,HEM,9.0250,273.1412
T,HEM,9.0625,273.1185
T,HEM,9.0750,273.0957
P,theta=1e-4 s,2.8375,64.3770
P,theta=1e-4 s,2.8500,64.3770
P,theta=1e-4 s,2.8625,64.3509
P,theta=1e-4 s,2.8750,64.3509
P,theta=1e-4 s,2.8875,64.3509
P,theta=1e-4 s,2.9000,64.3509
P,theta=1e-4 s,2.9125,64.3509
P,theta=1e-4 s,2.9250,64.3509
P,theta=1e-4 s,2.9375,64.3509
P,theta=1e-4 s,2.9500,64.3509
P,theta=1e-4 s,2.9625,64.3509
P,theta=1e-4 s,2.9750,64.3509
P,theta=1e-4 s,2.9875,64.3509
P,theta=1e-4 s,3.0000,64.3509
P,theta=1e-4 s,3.0125,64.3509
P,theta=1e-4 s,3.0250,64.3509
P,theta=1e-4 s,3.0375,64.3509
P,theta=1e-4 s,3.0500,64.3509
P,theta=1e-4 s,3.3000,64.3509
P,theta=1e-4 s,3.3125,64.3509
P,theta=1e-4 s,3.3250,64.3509
P,theta=1e-4 s,3.3375,64.3509
P,theta=1e-4 s,3.3500,64.3509
P,theta=1e-4 s,3.3625,64.3509
P,theta=1e-4 s,3.3750,64.3509
P,theta=1e-4 s,3.3875,64.3509
P,theta=1e-4 s,3.4000,64.3509
P,theta=1e-4 s,3.4125,64.3509
P,theta=1e-4 s,3.4250,64.3509
P,theta=1e-4 s,3.4375,64.3249
P,theta=1e-4 s,3.4500,64.3249
P,theta=1e-4 s,3.4625,64.3249
P,theta=1e-4 s,3.4750,64.2989
P,theta=1e-4 s,3.4875,64.2989
P,theta=1e-4 s,3.5000,64.2989
P,theta=1e-4 s,3.5125,64.2989
P,theta=1e-4 s,3.7250,63.7529
P,theta=1e-4 s,3.7375,63.7529
P,theta=1e-4 s,3.7500,63.7009
P,theta=1e-4 s,3.7625,63.5968
P,theta=1e-4 s,3.7750,63.5448
P,theta=1e-4 s,3.7875,63.4668
P,theta=1e-4 s,3.8000,63.3888
P,theta=1e-4 s,3.8125,63.2848
P,theta=1e-4 s,3.8250,63.2068
P,theta=1e-4 s,3.8375,63.1028
P,theta=1e-4 s,3.8500,63.0508
P,theta=1e-4 s,3.9375,62.0366
P,theta=1e-4 s,3.9500,61.9586
P,theta=1e-4 s,3.9625,61.8286
P,theta=1e-4 s,3.9750,61.6466
P,theta=1e-4 s,3.9875,61.4905
P,theta=1e-4 s,4.0000,61.3345
P,theta=1e-4 s,4.0125,61.2565
P,theta=1e-4 s,4.0750,60.1123
P,theta=1e-4 s,4.0875,60.0083
P,theta=1e-4 s,4.1000,59.8003
P,theta=1e-4 s,4.1125,59.5923
P,theta=1e-4 s,4.1250,59.4102
P,theta=1e-4 s,4.1375,59.3062
P,theta=1e-4 s,4.1875,58.1881
P,theta=1e-4 s,4.2000,58.0320
P,theta=1e-4 s,4.2125,57.8240
P,theta=1e-4 s,4.2250,57.6160
P,theta=1e-4 s,4.2375,57.4860
P,theta=1e-4 s,4.2875,56.3158
P,theta=1e-4 s,4.3000,56.1078
P,theta=1e-4 s,4.3125,55.9777
P,theta=1e-4 s,4.3250,55.7437
P,theta=1e-4 s,4.3375,55.5877
P,theta=1e-4 s,4.3875,54.4435
P,theta=1e-4 s,4.4000,54.3395
P,theta=1e-4 s,4.4125,54.1315
P,theta=1e-4 s,4.4250,53.9234
P,theta=1e-4 s,4.4375,53.7154
P,theta=1e-4 s,4.4500,53.6374
P,theta=1e-4 s,4.5000,52.5192
P,theta=1e-4 s,4.5125,52.4152
P,theta=1e-4 s,4.5250,52.2072
P,theta=1e-4 s,4.5375,51.9992
P,theta=1e-4 s,4.5500,51.8171
P,theta=1e-4 s,4.5625,51.7131
P,theta=1e-4 s,4.6250,50.6210
P,theta=1e-4 s,4.6375,50.5170
P,theta=1e-4 s,4.6500,50.3349
P,theta=1e-4 s,4.6625,50.1789
P,theta=1e-4 s,4.6750,50.0229
P,theta=1e-4 s,4.6875,49.8929
P,theta=1e-4 s,4.7000,49.8149
P,theta=1e-4 s,4.7750,48.8267
P,theta=1e-4 s,4.7875,48.8007
P,theta=1e-4 s,4.8000,48.6967
P,theta=1e-4 s,4.8125,48.5927
P,theta=1e-4 s,4.8250,48.5147
P,theta=1e-4 s,4.8375,48.4107
P,theta=1e-4 s,4.8500,48.3586
P,theta=1e-4 s,4.8625,48.2546
P,theta=1e-4 s,4.8750,48.2026
P,theta=1e-4 s,4.8875,48.1246
P,theta=1e-4 s,4.9000,48.0726
P,theta=1e-4 s,5.1125,47.6045
P,theta=1e-4 s,5.1250,47.6045
P,theta=1e-4 s,5.1375,47.5785
P,theta=1e-4 s,5.1500,47.5785
P,theta=1e-4 s,5.1625,47.6045
P,theta=1e-4 s,5.1750,47.5785
P,theta=1e-4 s,5.1875,47.5785
P,theta=1e-4 s,5.2000,47.5785
P,theta=1e-4 s,5.2125,47.5785
P,theta=1e-4 s,5.2250,47.5785
P,theta=1e-4 s,5.2375,47.5785
P,theta=1e-4 s,5.2500,47.5785
P,theta=1e-4 s,5.2625,47.5785
P,theta=1e-4 s,5.2750,47.5785
P,theta=1e-4 s,5.2875,47.5785
P,theta=1e-4 s,5.3000,47.5525
P,theta=1e-4 s,5.3125,47.5785
P,theta=1e-4 s,5.3250,47.5785
P,theta=1e-4 s,5.3375,47.5785
P,theta=1e-4 s,5.5875,47.5785
P,theta=1e-4 s,5.6000,47.5785
P,theta=1e-4 s,6.0500,47.5785
P,theta=1e-4 s,6.0625,47.5785
P,theta=1e-4 s,6.5250,47.5785
P,theta=1e-4 s,6.5375,47.5785
P,theta=1e-4 s,6.9875,47.5785
P,theta=1e-4 s,7.4625,47.5785
P,theta=1e-4 s,7.4750,47.5785
P,theta=1e-4 s,7.9375,47.5785
P,theta=1e-4 s,7.9500,47.5785
P,theta=1e-4 s,8.1500,47.5785
P,theta=1e-4 s,8.4000,47.5785
P,theta=1e-4 s,8.4125,47.5785
P,theta=1e-4 s,8.4250,47.5525
P,theta=1e-4 s,8.4375,47.5785
P,theta=1e-4 s,8.4500,47.5785
P,theta=1e-4 s,8.4625,47.5525
P,theta=1e-4 s,8.4750,47.5785
P,theta=1e-4 s,8.4875,47.5525
P,theta=1e-4 s,8.5000,47.5785
P,theta=1e-4 s,8.5125,47.5785
P,theta=1e-4 s,8.5250,47.5785
P,theta=1e-4 s,8.5375,47.5785
P,theta=1e-4 s,8.5500,47.5525
P,theta=1e-4 s,8.5625,47.5525
P,theta=1e-4 s,8.5750,47.5525
P,theta=1e-4 s,8.5875,47.5525
P,theta=1e-4 s,8.6000,47.5525
P,theta=1e-4 s,8.6125,47.5525
P,theta=1e-4 s,8.7500,46.7464
P,theta=1e-4 s,8.7625,46.6164
P,theta=1e-4 s,8.7750,46.3043
P,theta=1e-4 s,8.7875,46.0703
P,theta=1e-4 s,8.8000,44.7441
P,theta=1e-4 s,8.8125,44.4581
P,theta=1e-4 s,8.8250,42.8979
P,theta=1e-4 s,8.8375,42.4298
P,theta=1e-4 s,8.8500,40.5575
P,theta=1e-4 s,8.8625,38.9193
P,theta=1e-4 s,8.8750,38.4512
P,theta=1e-4 s,8.8875,36.5789
P,theta=1e-4 s,8.9000,36.3189
P,theta=1e-4 s,8.9250,35.0187
P,theta=1e-4 s,8.9375,34.9407
P,theta=1e-4 s,8.9500,34.8107
P,theta=1e-4 s,8.9625,34.7587
P,theta=1e-4 s,8.9750,34.7067
P,theta=1e-4 s,8.9875,34.7067
P,theta=1e-4 s,9.0000,34.7067
P,theta=1e-4 s,9.0125,34.6807
P,theta=1e-4 s,9.0250,34.6807
P,theta=1e-4 s,9.0375,34.6807
P,theta=1e-4 s,9.0500,34.6807
P,theta=1e-4 s,9.0750,34.6287
P,theta=0.001 s,2.3625,64.3770
P,theta=0.001 s,2.3750,64.3770
P,theta=0.001 s,2.3875,64.3509
P,theta=0.001 s,2.4000,64.3509
P,theta=0.001 s,2.4125,64.3509
P,theta=0.001 s,2.4250,64.3509
P,theta=0.001 s,2.4375,64.3509
P,theta=0.001 s,2.4500,64.3509
P,theta=0.001 s,2.4625,64.3509
P,theta=0.001 s,2.4750,64.3509
P,theta=0.001 s,2.4875,64.3509
P,theta=0.001 s,2.5000,64.3509
P,theta=0.001 s,2.5125,64.3509
P,theta=0.001 s,2.5250,64.3509
P,theta=0.001 s,2.5375,64.3509
P,theta=0.001 s,2.5500,64.3509
P,theta=0.001 s,2.5625,64.3509
P,theta=0.001 s,2.5750,64.3509
P,theta=0.001 s,2.6875,64.3249
P,theta=0.001 s,2.7000,64.3509
P,theta=0.001 s,2.7125,64.2989
P,theta=0.001 s,2.7250,64.3249
P,theta=0.001 s,2.8250,64.2729
P,theta=0.001 s,2.8375,64.2729
P,theta=0.001 s,2.8500,64.2729
P,theta=0.001 s,2.8625,64.2469
P,theta=0.001 s,2.8750,64.2469
P,theta=0.001 s,2.8875,64.2469
P,theta=0.001 s,2.9000,64.2469
P,theta=0.001 s,2.9125,64.2209
P,theta=0.001 s,2.9250,64.1949
P,theta=0.001 s,2.9375,64.1949
P,theta=0.001 s,2.9500,64.1949
P,theta=0.001 s,2.9625,64.1949
P,theta=0.001 s,2.9750,64.1689
P,theta=0.001 s,2.9875,64.1429
P,theta=0.001 s,3.0000,64.1429
P,theta=0.001 s,3.0125,64.1429
P,theta=0.001 s,3.0250,64.0909
P,theta=0.001 s,3.0375,64.0909
P,theta=0.001 s,3.1375,63.9089
P,theta=0.001 s,3.1500,63.9349
P,theta=0.001 s,3.1625,63.8829
P,theta=0.001 s,3.1750,63.8829
P,theta=0.001 s,3.2625,63.6488
P,theta=0.001 s,3.2750,63.6748
P,theta=0.001 s,3.2875,63.6228
P,theta=0.001 s,3.3000,63.6228
P,theta=0.001 s,3.3125,63.5708
P,theta=0.001 s,3.3250,63.5188
P,theta=0.001 s,3.3375,63.5188
P,theta=0.001 s,3.3500,63.4668
P,theta=0.001 s,3.3625,63.4148
P,theta=0.001 s,3.3750,63.3888
P,theta=0.001 s,3.3875,63.3628
P,theta=0.001 s,3.4000,63.3108
P,theta=0.001 s,3.4125,63.2588
P,theta=0.001 s,3.4250,63.2328
P,theta=0.001 s,3.4375,63.1808
P,theta=0.001 s,3.4500,63.1548
P,theta=0.001 s,3.5250,62.8167
P,theta=0.001 s,3.5375,62.7907
P,theta=0.001 s,3.5500,62.7387
P,theta=0.001 s,3.6250,62.3487
P,theta=0.001 s,3.6375,62.2967
P,theta=0.001 s,3.6500,62.2446
P,theta=0.001 s,3.6625,62.1666
P,theta=0.001 s,3.6750,62.0886
P,theta=0.001 s,3.6875,62.0366
P,theta=0.001 s,3.7000,61.9326
P,theta=0.001 s,3.7125,61.8806
P,theta=0.001 s,3.7250,61.8026
P,theta=0.001 s,3.7375,61.7246
P,theta=0.001 s,3.7500,61.6726
P,theta=0.001 s,3.8000,61.2565
P,theta=0.001 s,3.8125,61.2045
P,theta=0.001 s,3.8250,61.1785
P,theta=0.001 s,3.8750,60.7104
P,theta=0.001 s,3.8875,60.6584
P,theta=0.001 s,3.9000,60.5544
P,theta=0.001 s,3.9125,60.4504
P,theta=0.001 s,3.9250,60.3464
P,theta=0.001 s,3.9375,60.2424
P,theta=0.001 s,3.9500,60.1383
P,theta=0.001 s,3.9625,60.0343
P,theta=0.001 s,3.9750,59.9563
P,theta=0.001 s,4.0125,59.4882
P,theta=0.001 s,4.0250,59.4622
P,theta=0.001 s,4.0375,59.3842
P,theta=0.001 s,4.0625,58.9682
P,theta=0.001 s,4.0750,58.9162
P,theta=0.001 s,4.0875,58.8121
P,theta=0.001 s,4.1000,58.6821
P,theta=0.001 s,4.1125,58.5521
P,theta=0.001 s,4.1250,58.4221
P,theta=0.001 s,4.1375,58.2921
P,theta=0.001 s,4.1500,58.1881
P,theta=0.001 s,4.1625,58.1361
P,theta=0.001 s,4.1875,57.6680
P,theta=0.001 s,4.2000,57.6420
P,theta=0.001 s,4.2375,57.0959
P,theta=0.001 s,4.2500,57.0439
P,theta=0.001 s,4.2625,56.9139
P,theta=0.001 s,4.2750,56.7318
P,theta=0.001 s,4.2875,56.5758
P,theta=0.001 s,4.3000,56.4458
P,theta=0.001 s,4.3125,56.3418
P,theta=0.001 s,4.3500,55.7957
P,theta=0.001 s,4.3625,55.7697
P,theta=0.001 s,4.3875,55.2756
P,theta=0.001 s,4.4000,55.2236
P,theta=0.001 s,4.4125,55.0936
P,theta=0.001 s,4.4250,54.9376
P,theta=0.001 s,4.4375,54.7816
P,theta=0.001 s,4.4500,54.6255
P,theta=0.001 s,4.4625,54.5215
P,theta=0.001 s,4.4750,54.4435
P,theta=0.001 s,4.5000,53.9494
P,theta=0.001 s,4.5125,53.8714
P,theta=0.001 s,4.5375,53.4554
P,theta=0.001 s,4.5500,53.3774
P,theta=0.001 s,4.5625,53.2734
P,theta=0.001 s,4.5750,53.1433
P,theta=0.001 s,4.5875,52.9873
P,theta=0.001 s,4.6000,52.8313
P,theta=0.001 s,4.6125,52.6753
P,theta=0.001 s,4.6250,52.6493
P,theta=0.001 s,4.6500,52.1552
P,theta=0.001 s,4.6625,52.1032
P,theta=0.001 s,4.6750,52.0772
P,theta=0.001 s,4.7000,51.6351
P,theta=0.001 s,4.7125,51.5571
P,theta=0.001 s,4.7250,51.4791
P,theta=0.001 s,4.7375,51.3491
P,theta=0.001 s,4.7500,51.2191
P,theta=0.001 s,4.7625,51.0890
P,theta=0.001 s,4.7750,50.9590
P,theta=0.001 s,4.7875,50.8290
P,theta=0.001 s,4.8000,50.8030
P,theta=0.001 s,4.8375,50.3609
P,theta=0.001 s,4.8500,50.2829
P,theta=0.001 s,4.9000,49.8409
P,theta=0.001 s,4.9125,49.7628
P,theta=0.001 s,4.9250,49.6848
P,theta=0.001 s,4.9375,49.5808
P,theta=0.001 s,4.9500,49.5028
P,theta=0.001 s,4.9625,49.3988
P,theta=0.001 s,4.9750,49.3208
P,theta=0.001 s,4.9875,49.2428
P,theta=0.001 s,5.0000,49.1648
P,theta=0.001 s,5.0125,49.0867
P,theta=0.001 s,5.0250,49.0867
P,theta=0.001 s,5.0750,48.6707
P,theta=0.001 s,5.0875,48.6707
P,theta=0.001 s,5.1000,48.6187
P,theta=0.001 s,5.1125,48.6187
P,theta=0.001 s,5.1875,48.2806
P,theta=0.001 s,5.2000,48.2286
P,theta=0.001 s,5.2125,48.1766
P,theta=0.001 s,5.2250,48.1766
P,theta=0.001 s,5.2375,48.1246
P,theta=0.001 s,5.2500,48.0726
P,theta=0.001 s,5.2625,48.0726
P,theta=0.001 s,5.2750,48.0206
P,theta=0.001 s,5.2875,48.0206
P,theta=0.001 s,5.3000,47.9686
P,theta=0.001 s,5.3125,47.9426
P,theta=0.001 s,5.3250,47.9166
P,theta=0.001 s,5.3375,47.9166
P,theta=0.001 s,5.3500,47.8646
P,theta=0.001 s,5.3625,47.8646
P,theta=0.001 s,5.3750,47.8386
P,theta=0.001 s,5.4750,47.7086
P,theta=0.001 s,5.4875,47.7086
